,Name,Artists,Album,Release Date
0,TQG,"KAROL G,Shakira",MAÑANA SERÁ BONITO,2023-02-24
1,Die For You - Remix,"The Weeknd,Ariana Grande",Die For You (Remix),2023-02-24
2,Flowers,Miley Cyrus,Flowers,2023-01-13
3,Kill Bill,SZA,SOS,2022-12-08
4,Boy's a liar Pt. 2,"PinkPantheress,Ice Spice",Boy's a liar Pt. 2,2023-02-03
5,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11
6,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin,The Weeknd,21 Savage",HEROES & VILLAINS,2022-12-02
7,As It Was,Harry Styles,Harry's House,2022-05-20
8,Yandel 150,"Yandel,Feid",Resistencia,2023-01-13
9,Last Night,Morgan Wallen,One Thing At A Time,2023-03-03
10,Unholy (feat. Kim Petras),"Sam Smith,Kim Petras",Gloria,2023-01-27
11,Calm Down (with Selena Gomez),"Rema,Selena Gomez",Calm Down (with Selena Gomez),2022-08-25
12,Tormenta (feat. Bad Bunny),"Gorillaz,Bad Bunny",Cracker Island,2023-02-24
13,I'm Good (Blue),"David Guetta,Bebe Rexha",I'm Good (Blue),2022-08-26
14,La Bachata,Manuel Turizo,La Bachata,2022-05-26
15,on the street (with J. Cole),"j-hope,J. Cole",on the street (with J. Cole),2023-03-03
16,Die For You,The Weeknd,Starboy,2016-11-24
17,Escapism.,"RAYE,070 Shake",My 21st Century Blues,2023-02-03
18,Hey Mor,"Ozuna,Feid",OzuTochi,2022-10-07
19,Anti-Hero,Taylor Swift,Midnights,2022-10-21
20,X SI VOLVEMOS,"KAROL G,Romeo Santos",MAÑANA SERÁ BONITO,2023-02-24
21,Here With Me,d4vd,Here With Me,2022-09-22
22,OMG,NewJeans,NewJeans 'OMG',2023-01-02
23,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez,Em Beihold",Until I Found You (Em Beihold Version),2022-04-22
24,La Jumpa,"Arcángel,Bad Bunny",Sr. Santos,2022-12-01
25,Starboy,"The Weeknd,Daft Punk",Starboy,2016-11-25
26,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap,Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06
27,Players,Coi Leray,Players,2022-11-30
28,golden hour,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23
29,Another Love,Tom Odell,Long Way Down,2013-06-17
30,AMG,"Natanael Cano,Peso Pluma,Gabito Ballesteros",AMG,2022-11-24
31,I Ain't Worried,OneRepublic,OneRepublic (Japan Paradise Tour Edition),2023-02-15
32,PRC,"Peso Pluma,Natanael Cano",PRC,2023-01-23
33,Feliz Cumpleaños Ferxxo,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14
34,Sure Thing,Miguel,All I Want Is You,2010-11-26
35,I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09
36,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,2022-10-17
37,Bebe Dame,"Fuerza Regida,Grupo Frontera",Sigan Hablando,2022-12-28
38,Snooze,SZA,SOS,2022-12-09
39,Mockingbird,Eminem,Encore (Deluxe Version),2004-11-12
40,One Thing At A Time,Morgan Wallen,One Thing At A Time,2023-03-03
41,Bones,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01
42,Everything I Love,Morgan Wallen,One Thing At A Time,2023-03-03
43,Ain’t That Some,Morgan Wallen,One Thing At A Time,2023-03-03
44,Nosso Quadro,"AgroPlay,Ana Castela",Nosso Quadro,2023-02-02
45,Rich Flex,"Drake,21 Savage",Her Loss,2022-11-04
46,Born With A Beer In My Hand,Morgan Wallen,One Thing At A Time,2023-03-03
47,ceilings,Lizzy McAlpine,five seconds flat,2022-04-08
48,Me Porto Bonito,"Bad Bunny,Chencho Corleone",Un Verano Sin Ti,2022-05-06
49,CHORRITO PA LAS ANIMAS,Feid,SIXDO,2022-12-02
